Column_01,Column_02,Column_03,Column_04,Column_05,Column_06,Column_07,Column_08,Column_09,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20
-64120.4252,-65198,-27894.0126,61147,38582.0430,-44732,30528.4397,-13146,-18522.9272,-97171,64073.3914,-8947,-85496.0669,71701,55789.6659,-53282,-96108.9681,36536,24324.2360,70055
44994,-99626.2461,12512,4461.2500,50182,25193.1424,-73818,-92555.7545,96023,74501.3404,37208,-58265.8925,28374,75580.2515,22351,-58283.8803,48563,25691.0949,56786,34307.3390
-16922.9629,83684,-29348.9934,-50863,48188.5772,61142,42850.5884,8476,66250.0858,-83494,7054.4415,-36691,20881.2880,-32896,93633.7683,19612,49769.7536,65800,35463.0222,-60285
88548,-69010.1990,9229,37318.5507,23896,-43234.2399,43994,28668.6394,15954,54942.1808,-71268,-98328.0467,-96256,-28555.1021,7816,-99694.8339,-27056,-62108.4110,-29889,-38019.0859
83824.8199,-27513,-95849.5013,32766,-6626.8233,67702,-83825.4504,-7295,24458.2151,-52844,43246.2176,-16364,-72443.8054,-64720,-61934.5383,-86097,-92156.1358,3673,-34447.4851,68746
39235,-81062.8390,54304,-36481.9299,96093,53557.6664,-80706,93069.4943,-87344,71689.8441,-99004,-15755.2951,-29601,-31293.3758,-30810,12076.1356,-32019,20258.8736,-90092,85178.9660
-77397.6729,26919,20383.6344,-81735,25657.2458,476,-65951.8217,-69130,-28827.1958,-70619,-70585.0360,32117,-45223.5765,41462,56213.0767,19782,-5541.3245,12159,13882.6090,-59196
-14617,43921.7857,68756,46752.0702,-46149,-72946.9303,-87419,-699.3844,-40085,-30449.7930,-5709,35047.4182,3340,-96367.8934,-50904,-45196.7813,-55667,-12963.4507,-38404,49235.6529
-64249.0548,-6547,-93651.0842,50910,51299.0626,-87744,-29213.2329,-34822,16405.2605,65520,-78498.1529,63210,-52171.0404,-42680,-8411.4063,-62516,-58870.0232,49983,68300.8865,-70169
66810,72391.2537,60773,-40359.8438,30460,93819.3016,-93134,-54719.6624,18395,21142.6105,-55752,-11956.9581,-4909,-59879.1135,1563,-31140.2015,80349,-62903.8443,77221,65903.5638
64945.5906,90679,-68731.3231,-18110,70753.4154,37413,-70342.7150,29523,-55922.9809,-58841,-54670.2635,36550,-58880.8446,-50999,13244.8440,72161,-3116.5880,41539,-62252.2674,-70285
2299,69156.8569,-12049,-67158.0961,88289,-25889.1171,73464,-3904.3245,-46884,70148.0463,-47414,-43530.5791,41450,-5519.6241,-37222,-30663.5815,45078,-83233.0199,-11500,40317.6611
78270.0534,63585,21362.1425,48353,78610.2883,26531,-955.2508,-49516,35296.9940,22843,-80440.9305,982,-96997.5102,42843,-64833.2312,68550,64366.0754,-28045,-21486.6772,8397
74216,-29720.3844,-23113,-13415.7506,50201,-32262.4032,-2930,-95378.9898,275,75975.4822,-79254,49759.1063,93234,-87064.0079,-61461,97993.4834,33200,41819.8653,20210,80266.7473
-31478.9527,-53680,61497.6810,-40628,-62745.6576,-60097,55543.2576,72936,85980.4096,88911,38859.0268,36663,90923.5382,-42023,14888.3624,33859,-26281.8652,-14150,-28353.9365,17580
2092,-25629.6849,-62442,-61629.5863,-53856,-57433.9594,-79944,137.4908,67853,-33731.7664,17908,-59346.0041,67555,73595.3318,62722,23710.1950,-13122,9641.0762,28316,-49885.5585
23733.8064,8903,20464.9866,63400,87677.6371,32386,-96890.1961,-68048,-68502.9175,-68336,-7.9442,1879,49087.7458,-78550,-53218.3068,-47012,34622.4989,-17225,-99010.1847,98771
89707,-41839.7744,86179,-74784.9003,-44925,91575.4738,-91256,-11290.6040,-5438,49036.4101,-32282,-96784.4701,-41923,35883.4962,-82269,-95970.3758,-28995,-19948.3000,47168,-94974.8894
5304.3137,85369,74910.1047,-29018,84290.8648,91270,18381.9086,31045,-19505.0641,-5087,28124.3022,-97166,-33809.6852,-74549,47956.3959,27221,-73614.7944,-9447,96636.4276,64046
7038,-3235.1336,76839,-20400.8066,-13991,725.0292,-71506,92650.2888,50223,7927.6724,11811,-35888.6234,-8057,88896.6472,59218,-30861.5365,13398,76505.0850,-31179,47950.3098
-27508.8733,87355,-41820.9971,55068,-37884.8632,-93030,53862.4649,-27956,50405.4785,29526,84040.3695,-33467,-29345.3792,53320,-14998.7351,39544,-89013.9756,-56664,79313.7650,-77751
-89127,-96704.5582,-99662,30822.3148,-67114,53418.2743,90056,-3478.2863,12384,82748.4007,26439,30801.0079,5019,-17281.7897,53197,-33316.7948,79258,70971.7030,5621,-82522.2983
-73623.6870,28558,-30870.8272,-89850,-29117.2963,-34407,-44702.5386,762,24042.9094,61260,-60418.1535,-82790,63211.2924,-91268,-85785.4369,-19314,-50318.2334,-27149,-77771.0289,47263
-42911,45074.7821,53164,22035.5497,-92198,-90984.8962,38277,-19176.3290,-38780,-61559.4022,-59215,-19920.8721,42259,54037.6193,3846,83166.5502,34017,-30827.2399,-61670,11591.8431
26168.8818,43820,-24308.7906,55649,60660.5018,-11688,-76558.0581,76933,-28015.8011,33351,-91465.5757,36030,62275.8313,-63467,-31653.0400,-8485,-728.8293,-59482,-50113.6121,69242
16706,21998.0688,-59888,-29585.3431,59509,-68882.2541,-72088,-99753.6458,-7122,2433.2970,15198,-90097.8753,80526,-50749.3435,85644,-76500.8947,-78525,75179.8027,53301,-65349.5033
77008.7516,59092,7579.1458,-45309,39778.2453,73510,-58522.7164,69953,-7883.0907,-1929,98436.1510,-7990,-68399.6843,-73007,90103.6199,4651,-8754.7872,88394,-34916.7462,26257
75610,54888.2680,-73163,12802.7375,99393,39531.1819,-83262,58810.5394,-26879,-22173.0892,-23503,74158.4028,28648,-39087.0744,18384,-15948.1930,-16276,49312.4232,-67184,-51111.3402
3802.8028,71257,-56186.1168,38590,-44063.9933,13343,-70558.4321,-29680,51351.9129,41343,-67464.9870,48813,75170.8458,61196,-53677.2513,-55229,11443.5592,-38842,-61852.7677,38272
65236,79788.4961,-67227,-23104.2770,86707,39651.6771,432,-85744.1337,42421,-44645.1326,76163,-82089.6199,76737,87034.6474,-8189,-19903.7937,80386,3988.5599,48060,33429.1543
12954.6856,-67468,80442.9664,-42427,-38267.5209,-99169,64118.2889,-19636,18424.4737,-72090,7831.0057,27061,-37542.5025,42928,-93387.4864,-58163,-79524.2042,-77494,50666.0001,-17221
55056,-72818.0462,94597,-86530.4624,25251,4674.5074,-77832,99791.1759,3342,-21378.3263,-82772,-62515.6581,79552,69101.7099,-32099,82108.8164,-56347,32653.0074,27523,-80029.8714
-56683.1459,-72894,-79474.6953,94261,-49855.4333,22300,-87534.1692,35622,-71252.6235,87854,27393.6881,-31523,-8106.8330,-90143,44243.6732,-51251,-73123.8478,-2609,-83013.4177,91651
-86105,59827.8852,42065,-64282.5282,12861,62477.0201,-4506,53846.7168,-86985,-31514.9033,38774,10631.1276,12629,59126.6286,-50809,19657.0809,-99851,-50056.3176,-42062,-9387.2043
62980.8234,99848,-86773.7080,-93100,-32973.2585,42983,29362.5741,-78335,30657.9536,-40533,62991.4302,49080,75640.9160,-42824,-15902.8325,86856,88929.5454,69579,-65688.2092,33599
-97880,14769.4595,-69850,-11057.1751,42019,59342.2431,-59659,20332.5720,-1730,52632.4585,-3849,-98239.1684,18513,73629.0541,-68292,-59775.5513,69980,-137.4129,-89041,-2820.5452
-47189.5197,33019,50439.3434,-1293,44729.3947,32538,73703.8274,-31263,73691.8720,-33289,-71730.9560,-97690,11447.0121,76487,-44246.8140,42731,86269.3529,-36206,-50187.6072,-52260
98160,49540.6873,84381,-75176.1189,73950,89549.9282,73680,87253.5868,63677,59004.4277,-99111,-14295.1711,55355,82042.0746,-79381,42948.7630,-76910,73337.9606,94682,-86224.7731
67367.3995,-52060,-83393.0785,-3009,13218.8506,-53162,5210.7286,35923,-61537.9218,6261,327.1548,11163,-47440.8781,99873,76099.0633,-84737,81266.4578,27808,-97836.6629,-77270
91950,-92263.7010,58592,-2609.8889,-28399,-35997.2578,45229,-46407.9277,-32772,-39032.8248,-61236,-87036.7270,-712,42084.7177,99364,-63045.9954,10253,-25688.3102,-24905,8375.1673
94080.1053,-34672,-49353.4370,-62254,90082.3922,-35219,26938.0477,74284,-4212.1276,-89521,19034.5292,47879,91806.3346,-5353,-22327.4697,-95841,90586.5840,29103,70677.5485,-52171
-56589,-8714.2892,90611,-71162.7864,47462,32296.5406,87141,-49544.4928,-47219,-63993.6415,-77581,87947.4190,-43622,10277.0306,85387,59698.1773,-46977,-83710.7199,-80138,-12348.2860
-36567.3856,82568,-76857.9278,-569,72583.3037,-92021,-175.4449,83770,-31469.0445,43944,15748.6434,-6819,67952.1155,27799,-2039.7470,42356,-74947.3668,50964,92827.6234,94331
-49955,-1928.8355,51137,16278.3164,50715,-69562.9423,-6432,36609.1183,73523,-41170.0940,-76291,31829.4765,61121,-23907.2935,-11231,-3284.7509,-6529,10662.1159,-30230,-83939.4726
-61222.0824,90034,51381.4388,-24072,18225.2949,60969,37408.8839,26312,28354.5944,11890,2930.3896,45005,-78960.7427,9071,45603.8372,-58878,-83604.1046,836,79597.9406,59643
64678,-92064.0584,-62687,-97367.4474,-62682,-50411.2013,-42917,25551.0207,-29023,-30954.8447,46912,-6428.6811,92900,-48879.2020,1286,-58828.7084,-18120,79535.4549,85186,34499.0034
32630.0605,58762,57172.8100,76174,61377.6583,31246,-3543.7888,-85857,49115.8728,10077,-3975.1122,-79824,72746.3646,-81254,61685.9457,28302,-92667.8812,79694,-16043.8165,29061
-47318,-88095.1584,30496,-13418.9674,-1354,33909.0346,47154,52114.2543,19039,30560.9694,-36071,-22350.0046,45936,-56063.9124,417,62868.4603,-46609,-29601.2535,-62153,15090.9883
47928.0190,-7128,6652.8070,4505,-66418.9108,-20802,3325.7431,79056,-51193.3644,-86725,-14242.3762,-35742,74661.8514,-91699,7432.8433,74144,-36678.0560,-45727,70618.6867,45780
-94855,-53533.2619,76367,85168.9407,49401,24078.6588,79427,427.0674,-79772,3941.5236,-8361,74931.4778,-63315,-33653.7237,80515,-92108.4101,-66587,68369.6446,48740,-67879.2416
51356.3909,61226,-80779.8392,45456,73416.8435,-60852,30638.3207,-79471,99161.7003,65535,-10047.7672,86717,-39788.8844,72348,95111.9163,-84804,1920.9683,26736,-39386.9760,-84694
-48928,-5246.7252,8648,36731.8873,85274,-25969.7218,-45325,69195.9787,-90987,-83140.2422,76790,-12346.0832,-27435,94654.7566,-35202,-95921.3703,-3952,84263.1955,-88383,-74930.6307
59989.6315,-29747,-71675.9374,-85635,91350.3491,24904,-55837.1202,-13253,58070.5790,-8201,-1627.5863,29309,477.2006,49113,12632.8859,-99436,-2483.0572,8947,-83619.1786,9005
-70019,-11076.9344,18876,55055.3174,-14323,-51522.5079,-70579,-94023.9238,-87070,-86096.1213,81821,68508.0374,42563,83022.5648,78963,66077.2641,99202,-67515.0341,70363,60417.1236
-30029.7434,9599,17963.6522,53289,-20307.8398,70098,-89513.4385,-21890,27674.6138,-61969,87867.6282,63423,67294.7108,40487,83142.7113,-18916,66472.1789,-18943,51059.6341,-55946
10500,-88124.3590,80082,-13589.4385,34420,-71824.7324,-85718,-62036.9945,-17432,-23474.4236,63137,64513.7888,58110,54277.5038,-49386,-35155.2713,-44061,-42327.0847,36476,-6663.8336
-53848.9341,-60688,-43408.0686,-83717,-13757.0853,-48829,14612.8362,-11230,-90411.8508,-61832,-41617.9349,15858,74229.0461,-94951,-38905.8141,-90143,26718.6923,-11852,-99390.3795,66855
-791,-39684.0881,57666,-45235.3830,20150,-26440.1732,21129,-73701.6944,776,-4.2587,66090,37977.9049,-78234,94814.0995,95600,36605.5300,16216,-31371.3644,-25210,24273.5609
25544.4193,84270,19257.6568,59492,76247.3511,93528,-38976.6166,34543,56428.7633,-47969,96968.7418,10880,-13488.0360,-47677,38314.9263,32921,90212.7530,-46514,-59874.2667,13539
46897,-87435.6239,5743,47250.6785,-97365,-67587.0183,59150,-5197.4875,35073,50675.6480,22881,-69925.4921,85938,-98045.5730,-76663,76604.2016,-94576,-92680.6917,42270,-28663.6151
-99678.0360,-95171,-53852.7573,-20426,-79007.6024,-59632,27154.5525,26318,-29956.4617,51907,92266.2977,-80553,-174.4569,-77100,-98859.8932,51337,-85845.0952,-17286,-50704.5103,-81574
55197,-73102.1157,-69972,11588.9955,89708,-49107.8309,25437,82784.2642,977,754.5725,60158,63980.2368,-72075,77218.7643,33945,95921.5023,-80427,-767.0586,-50934,88795.1753
98097.1891,62332,-95486.9338,-80254,-34229.5064,27912,41448.9760,-86697,-13013.0238,15272,-1128.7759,43911,-63392.9052,-41107,14728.5981,-5266,-79567.6120,20433,16906.8012,50526
-54857,30922.5539,76503,-38006.5969,-93554,-58080.4531,-98131,-8764.6091,88961,-13250.5488,-69252,-92102.8836,65388,-89384.9348,-21497,-72987.8622,-69152,26979.5273,-74106,56151.9596
-6685.2493,-62146,-66056.5278,-72168,88175.3643,64139,-55818.8198,-55816,-82419.0573,-59417,-30590.0363,-9818,44104.8138,88781,43117.5124,69248,85883.9058,17609,22073.6155,-25194
90971,19818.8759,-11099,84863.6045,54623,53702.6994,148,93416.4659,96254,-31582.6262,-63724,-54325.7642,-39512,-90438.4481,-33292,-87076.4092,86602,-20813.8157,-91069,-26495.3095
-12874.2926,-18400,23217.5617,52565,55426.6200,15309,-79151.4133,-10352,72357.7542,97805,34072.1368,49345,28586.1585,-70602,91420.7527,-87377,62068.5697,19964,-9232.2747,-19264
7317,26043.6313,-94992,38501.3239,-31812,51681.4615,98927,33496.6247,4492,-52942.9582,-25960,51694.9631,43784,-70795.6575,92211,77060.3735,-91374,-93756.0590,9470,56364.5803
-46796.9193,59220,-38362.0353,-97374,-62141.4117,9771,33476.8512,86062,35611.4264,8566,2610.7899,68376,-18699.2315,-97225,35346.0043,-5677,-8400.2741,-32599,77965.3612,-38318
-2816,-63074.5119,83906,-32371.4535,-66805,68528.1807,-52076,2650.2986,-47100,-18114.2808,48515,95220.2970,65608,68079.3316,81245,-96123.8483,-34447,7667.1199,38138,23229.5974
57057.7373,-1862,40137.1857,-4786,-69098.7871,-96852,-15314.8987,77379,-62086.9520,21133,-1956.4665,-14425,-93798.8460,-2726,50376.2447,-39700,40465.9165,59454,-24377.1785,81765
15680,-60761.3352,-70858,-39677.5223,34229,66241.9850,56818,92290.6739,86353,31031.8927,-82022,2346.2771,-18327,25895.3236,57039,30012.0464,-99464,-24093.7117,-89359,-57112.1287
-83029.8080,6800,-72118.2625,-30029,46886.6136,67492,53894.7725,82391,-28115.7552,87999,47565.0415,-76887,40701.7106,-77808,18681.7202,47268,-60625.8453,52961,73161.9134,50521
46568,22434.2200,-88266,-94806.8602,68904,85707.7229,-10921,-95793.6762,-95675,62973.8207,92289,-78069.9222,89610,62514.8523,65683,-27831.2375,51385,88121.5180,11467,85876.0138
-11746.9012,78557,29357.4269,-92991,74683.6900,28719,78432.7637,58249,15096.8345,-17211,24003.4626,66784,54456.9644,63607,87667.9711,-60251,-48425.3608,-53286,8200.4025,8105
4623,72236.4029,-36109,-49457.1099,8133,-96627.7106,-35332,56508.7618,-15806,95876.4812,87856,71572.6030,42783,31998.9755,-56151,29141.9120,6949,3073.6264,96667,-10856.9677
75280.2711,19850,36149.3305,-17836,-68623.4196,-798,-66404.3900,-59951,50735.5646,10132,55008.3454,-39548,-47515.9244,-18744,-41629.1116,2986,-53205.3316,97473,42936.6214,45453
73178,79446.9826,12339,19696.7029,76172,-3290.1915,-43207,13386.3094,8230,-3770.4772,-23037,54704.1381,-85880,-47758.2125,-95818,22189.0003,24955,13676.4604,-48333,-10178.6671
-6475.9596,-51784,82617.1768,-30758,16158.2623,-50353,-26999.6186,8033,65335.6425,-23011,70594.1021,-18844,57089.9475,35543,-64826.9923,-88776,66099.9649,-81388,85703.7232,93068
58292,-3261.5029,-42683,-27851.2670,77071,16097.7172,-58261,85047.3692,-19705,-98841.1577,88825,81184.8056,61256,-83858.0004,-46855,40586.9065,-20966,98535.6336,35274,-326.5371
-82658.1116,66893,26967.1350,-72485,-25160.8200,73256,-38378.7805,64195,-23817.3501,-68084,-42439.5060,28643,-46245.8920,23786,-46322.4684,-1373,-42807.5389,-12652,-80980.8781,-80842
497,-36669.1818,-60325,92089.2054,97007,-54061.3350,-87658,-21628.8553,41500,-2347.9390,80439,-70521.4469,45315,-32991.6471,1798,24249.2551,59262,-40744.1936,-23070,62678.9191
47202.5415,-21034,-70461.9587,24079,-53008.4569,14619,20885.2656,59454,13464.3819,-19539,55179.2391,70057,84585.2944,34026,8814.8904,-41479,44588.7189,-52672,-14824.3464,27535
-95202,84650.6539,44844,-83775.9636,-93117,-8683.6599,28279,67731.9119,-55259,-61885.2718,-49028,-49422.0926,528,-11519.1620,-59581,62632.3516,75696,53868.7702,-51331,14844.7733
-2583.7233,62484,-32303.4946,3184,-77875.0779,-4150,-20889.4204,-75195,-76709.0305,18598,-42865.3687,-23412,95371.9122,96231,20830.7771,10748,38918.3020,-6489,97559.1997,-16761
64704,-88433.2247,-36903,-57715.7854,72690,-47352.6126,-70322,-85465.7959,-35726,-18637.2066,-22142,-51103.5890,-38538,17475.4413,17716,36356.5694,65040,-24279.6390,30400,-86133.2915
23797.1347,54481,-73295.7987,-38326,-30287.1966,99167,67078.2594,-13098,39673.2296,-53244,-3867.1653,-48864,13666.5341,-55362,-80958.5194,-27147,-15612.2108,-74591,-27747.0084,-61276
45967,93916.2455,48753,-20137.1326,35851,-44168.2023,-97354,60770.0388,-81339,40520.0666,-34853,5357.6710,58179,-7771.9121,-1480,-34815.4230,12293,-69051.4939,-61598,27346.1619
-42628.0478,68194,-75836.1304,-46747,29029.2182,9590,5412.6157,36,48601.3719,6447,-33924.0103,48049,43653.6253,-40522,58251.0244,-87118,37353.4464,-40661,-81963.3926,-73008
-70753,34347.9157,21534,-15371.8707,-82239,-50170.1069,-51013,-12720.2582,-80395,1178.7563,-10548,-90336.4873,38162,63050.8621,-66613,-71028.8267,9176,99591.0497,95970,-26270.1947
-20162.3417,-17563,28272.5433,-43950,-41680.2149,-25856,-67952.7972,24402,-43510.7535,-34498,33631.3809,-82420,-80804.4205,-93078,97297.4579,57332,-55386.7907,81756,73174.9988,60747
-61252,4234.8388,81730,33480.5272,23035,44913.5269,53824,39435.2001,-47137,-39607.8828,-4986,-51251.1406,-90681,-77774.6216,-88927,19343.9811,15529,34102.5905,-95587,-96539.6770
-52664.1564,54273,-7907.3604,-66454,-71037.9024,-27861,68534.7079,85744,-13612.4035,35964,-25573.6990,-90768,-63087.9523,80147,9698.2606,5604,82260.8963,-47343,58114.4198,-36871
96213,59077.8808,86234,-54319.0219,-58638,-20814.0282,76572,-76111.6743,-68930,-17471.5300,78992,-43471.1338,85903,-62708.7497,24704,61276.5378,-61703,73081.2689,-16076,-13771.2265
-28115.4929,-42453,70491.7705,52777,-57746.7519,-14872,-4861.0500,9074,40829.1372,41574,-7447.4313,-934,13160.6127,4160,23660.6653,-56469,-90126.8320,40505,28520.6375,26775
53352,-38878.8256,-8855,-33050.3607,-2035,59054.8029,-76792,81856.8877,-70965,-64747.5610,-20432,-11573.6404,37106,78894.2273,-54840,47890.1522,92246,91926.6482,11486,-64155.5528
3960.3084,-40321,89319.6340,27580,-42433.3589,29513,19624.0129,-58677,7989.2076,-45369,-37618.2995,-67,-10150.2374,-81790,54440.0146,-92114,-76915.8851,44636,55452.2348,63481
-85466,-53261.7537,65524,-63353.6802,51795,-47139.6283,-5948,9419.0890,-31704,-40314.6923,-3609,-61102.6312,-6985,-65869.6298,17605,42166.7881,70881,-15959.0246,-67642,54601.0944
-95481.1501,-94092,-94248.2465,-18978,84611.2136,93853,-20129.3074,55869,5780.5039,-91021,83548.2054,25861,-64068.3019,-47268,67027.2641,-98335,-50039.5629,97599,-16049.7699,4567
94324,31428.0683,-24966,-37187.5738,78721,2908.4855,-56657,-8507.6342,94292,82529.3998,64439,72945.3125,63924,-17938.2250,87965,-69808.1852,44808,-76017.7358,62031,20172.2739
-72591.2895,-48912,-64929.4503,-23736,37538.7446,-46917,-97380.9639,53077,28973.7335,34559,28035.0042,-21460,18539.2915,44675,-82754.9441,27464,66541.6088,-14633,68368.6294,20885
-75908,16053.8855,16468,80739.0644,97031,84202.3597,78120,38275.1231,72676,3449.6157,-74809,20293.3239,73766,-6426.4815,54207,-78759.2254,-44465,82546.5109,69190,-42335.3186
-2533.1808,91640,42071.9642,-27903,13214.8428,-34469,-74873.3496,63087,27831.4311,22163,39650.0022,60123,-34941.2325,-7683,95354.8954,20035,31144.9316,-63483,-60184.5230,-26353
-14895,8407.0646,-35742,-75376.9671,-50071,-68157.3160,78902,22338.1628,-87444,80917.9860,66086,84188.7684,-58289,16761.0766,24245,-79167.3666,42875,61038.8384,-51944,30592.9921
74104.6063,12474,-7083.4728,36942,90680.8416,-4099,41273.6905,25458,27600.3833,81358,10875.5709,-50721,29640.9584,2520,85058.4970,-13477,52966.4345,-73029,-79540.3757,-75936
38932,15740.3278,-59122,-25317.3943,96403,39936.7887,-26563,-82665.7867,38815,28284.2982,-18851,82006.3819,-5215,69126.4029,-51139,12888.7885,-81635,35605.3642,-39855,15104.2106
10461.6698,-8797,33971.2334,24793,-40859.0327,87629,76945.6979,-94454,41531.7362,-19445,-95734.9996,10055,72870.5463,-29062,-84235.1151,-91669,-76693.1357,82423,27351.1653,-4292
45093,-72388.1222,-31184,-8458.7307,-60393,-19617.4325,58709,73823.1952,-47566,62561.7698,12253,4281.8088,-89741,75203.2773,-58488,42564.1822,61143,93346.3205,-71909,-98686.5085
-7536.5726,-63425,43193.7146,-11119,9031.8320,3977,-14186.2500,-84508,-96765.0792,-77615,9540.6760,-11784,36867.1768,25747,-27755.4065,90225,81397.9267,41137,31888.2697,-80319
-35529,1273.3159,58738,55999.9006,-57805,-9104.9442,29806,-30110.6655,47976,44241.4740,-77775,-46197.5545,42573,-84617.1540,85470,-20117.7041,-30041,-46392.0051,67832,-37700.6398
-32108.5029,-69240,-20800.7085,20179,57240.0643,-12507,-7628.0637,-22759,-53644.0528,54868,35610.4605,-48313,-35674.1338,60614,43578.3450,-92576,51029.8954,-32556,-5717.1260,24559
-43921,-84323.5174,39064,-46081.2895,34805,-29274.9307,-77776,-95462.8831,-90172,12963.6098,-82156,-3614.2039,4036,87353.5654,-70333,-50399.6533,33871,74367.3210,-10674,-58604.9557
77177.9015,81364,-16684.9106,69655,-29248.3304,35507,91979.2593,-1165,5917.3437,-82008,56930.4351,18271,1281.8746,82378,98289.1452,15833,12353.1216,5260,-17139.8260,-12344
-79846,-79120.1103,-49809,-56217.5227,-6008,-18349.1846,-54069,56064.4027,96939,34587.6114,74402,96497.8729,-51641,-93403.2585,86556,-74019.9075,7468,71283.8969,88051,-1549.0616
-73223.7109,28415,-85773.1778,-52903,71592.7443,-55381,97685.1888,21384,-47520.7723,24142,-28272.5123,-37924,74462.7310,-21170,-2677.6236,-23059,-54450.0353,-33491,-57845.2540,-34074
-29378,-83124.5174,-96562,8313.4870,13087,-13399.7576,-66063,-18014.2885,-72657,-70085.5004,97747,-50889.1677,67102,-68007.9966,35713,17698.0479,-27958,-61488.8914,-26316,31976.9053
-84511.2454,-12764,-83326.7645,46506,-57650.9195,54718,-27275.8030,24113,-42120.9607,-57675,-70348.1470,-40762,-70440.4960,94217,-88853.7937,-92229,30670.6742,22162,-59441.9907,-65834
44376,60747.9378,-93089,-555.5664,42324,-34253.8723,-92809,-74340.5718,13011,-82839.1516,-76306,-45843.3360,62382,-9882.6785,-17839,-50877.7359,50413,-66089.6141,13141,-53033.2582
624.9192,77289,35780.3236,58984,90179.4033,-80189,82681.5523,42260,-89937.0316,25565,5474.8328,78886,67759.9436,-10395,65850.8906,26362,-61400.5988,-3224,-91100.0140,29157
93070,-155.6153,-35619,-56056.3816,-13947,65550.3980,99972,-94292.3836,92706,53511.6514,-8197,76850.1601,-71367,-19946.4770,55371,-18036.0891,21684,33750.3852,92924,75100.6707
93517.3564,-80068,-56758.1081,66976,-41938.4211,-5644,-87117.7704,24664,59975.3295,-56495,2455.5759,21985,73803.8418,-41617,21183.3426,89221,-27999.4351,56907,97849.6366,-55572
96339,-19757.4452,47754,94407.9422,-96994,-64309.7332,46436,78346.7344,-43087,12703.2586,-41237,-94578.4376,96690,-72167.5245,21279,8976.1496,-74813,92618.0313,51865,-90256.4262
-21371.4948,32848,-60206.6216,35829,23087.2194,-51489,-23529.9316,-22539,-20673.9383,73932,-384.0350,75406,-70224.8955,-45335,-30238.9613,-93177,63181.6925,-16610,51655.7216,-78906
-54251,-57717.5260,-65481,-71540.2593,-18331,-32175.8661,54683,-27958.6200,-99585,-69396.9780,46827,-76665.5505,11414,-28305.1151,-6777,-77494.1031,-83539,87043.0835,-28374,29004.0165
54881.4153,-85535,-53200.0418,-37865,-57675.5631,19846,-83862.2473,53334,72007.7443,-16600,48284.0951,426,34562.8245,84239,43282.5745,-58618,-97734.3151,76602,48701.2097,-12837
67605,36112.8500,28261,-28557.5034,3925,37881.5168,-2113,58507.6106,25133,67734.6658,6099,9866.0436,-85479,5393.6833,-28277,30732.1434,54695,65689.1996,31216,50910.3299
-87343.4738,49094,83140.2934,88124,5304.6252,41971,45053.1590,-51684,4968.4795,97481,89592.7001,28966,65005.5078,-63108,-16272.7708,-5937,89185.8122,-63967,90941.6072,-7821
-75701,-45044.9078,-64445,13729.2542,17672,90291.7714,-45785,81269.2789,79545,-30262.2720,69317,-17510.3320,93152,48800.0199,42812,-78037.3694,-93161,47200.4212,78407,51760.1839
43490.2193,28801,7956.3125,-53916,67079.7374,-68748,-27277.5806,54275,-75587.6430,-99442,-26569.8762,62191,61322.5910,-36554,14697.2394,-58007,90536.4664,-37120,13371.3359,-67307
45215,-59024.8978,27393,-96626.7602,85779,-66810.7012,75953,68803.6293,-15581,11859.4656,12274,-2101.4425,-62439,44196.4407,34663,50252.7847,81238,-44098.0349,-10483,-13372.4439
64702.6293,37329,8711.6194,80562,-40950.2450,49904,-50191.3233,10197,38940.3618,-27612,-74093.9861,-62351,68643.8321,15243,15235.6433,-21185,78712.7280,82022,89783.4467,14844
-78860,66916.9861,6271,-25418.0177,-78929,29254.6151,-89229,-27565.7733,-38858,-62067.6242,78122,5909.5466,3105,-94961.5360,66646,45840.6830,55111,-4774.7614,16778,67274.7982
-54411.0316,90248,87231.1316,62798,32752.4239,13888,90449.6061,-38100,6075.7945,-95060,-45250.8957,-65545,17123.4233,-29281,-76655.2886,78430,-22338.4706,-59829,-34978.0645,-7256
39138,-50748.3233,-83171,-70521.1015,-56716,61497.6258,12696,-698.0267,26095,22665.1484,3056,98717.3108,-91754,-23591.4943,-75403,58680.4865,-37375,-8484.6400,-66511,-38417.5157
18811.9299,-12272,-58563.5699,71003,-4654.4364,-37960,-14860.4642,81957,11898.6082,-79088,95219.5823,78669,28303.8299,-13916,55002.8518,-58361,-67011.2885,-17701,34729.0386,-22555
42362,-63728.9109,-38823,94325.5411,-32676,-689.4878,-39798,-33306.2339,-84889,25293.5555,-18867,-57046.5976,-6311,14360.1792,77819,-30041.3205,51091,-40574.5887,-91312,26996.0588
-30608.9415,-51488,49314.6386,19655,-24934.2129,21872,-72716.4160,86375,-59794.8385,83184,45581.2846,15117,-2122.3805,-72861,96620.0623,-63839,44781.8800,-69757,-19314.5933,-34377
-19829,-19435.6283,-31232,70498.6678,47700,-60309.6941,85600,-45980.0959,44008,-95676.3689,-42808,11876.9291,37888,22425.0466,38997,77818.2557,92032,-81895.8605,-89411,-93947.8766
-85662.2273,-84828,-59886.9177,-98234,-71320.5938,-21486,-31826.0842,-58901,57303.1979,-92487,76707.2608,-70780,-34890.7116,81774,40613.6616,36219,-97506.9903,-50847,-13028.7365,56503
